orderedtreatname,treatname,sludgetype,sludgetypeshort,daysludgetreat,newtreatname,day,timepoint,avetotinorgn,stdevtotinorgn,counttotinorgn,aveammnbiosolidmgkg,stdevammnbiosolidmgkg,countammnbiosolid,avenh4n mgkg,sdnh4n mgkg,countnh4n mgkg,aveno3n mgkg,sdno3n mgkg,countno3nmgkg,avenh4nmgkgsoilb4,nh4nmgkgsoilb4sd,nh4nmgkgsoilb4count,aveno3nmgkgsoilb4,no3nmgkgsoilb4sd,no3nmgkgsoilb4count,ave orgnbiosolidmgkg,ave orgnbiosolidsdmgkg,ave orgnbiosolidcount, totNorgandammstartmgkg , totNorgandammstartmgkgsd , totNorgandammstartcount , totNorgandammstartse ,mineralisenpercent,mineralisenpercentsd,mineralisenpercentse,mineralisenmgkg,mineralisensd,treatno
dd14 nAD-LD250  pF1,dd14 nAD-LD250  pF1,S-LD250 pF1,S-LD250,D14 S-LD250 pF1,S-LD250,14,4,49.47,20.96533091,3,22.86937266,2.610963811,5,32.98666667,35.73854548,3,16.48333333,16.86728886,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,912.9712979,23.19747442,5,935.8809624,23.19747442,5,10.37422594,0.019481709,0.023158442,0.013370533,17.78624076,21.13816229,14
ed42 aC pF2,ed42 aC pF2,C pF2,C,D42 C pF2,C,42,5,17.98,3.156247772,3,0,0,5,0,0,3,17.98,3.156247772,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,0,0,5,0,0,5,0,0,0,0,9.165613422,3.228246119,1
ed42 bAD-C  pF2,ed42 bAD-C  pF2,S-AD pF2,S-AD,D42 S-AD pF2,S-AD,42,5,325.4233333,4.279127637,3,176.9616203,16.08480382,5,20.66666667,1.060204383,3,304.7566667,3.624090691,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,885.644346,15.27060934,5,"1,063.99",22.18038539,5,9.919369901,0.157678787,0.019004468,0.010972234,139.6473265,16.65807673,2
ed42 cAD-FD  pF2,ed42 cAD-FD  pF2,S-AD-FD pF2,S-FD,D42 S-AD-FD pF2,S-FD,42,5,351.96,2.861817604,3,68.60043788,1.677252186,5,27.86,2.710147597,3,324.1,0.392300905,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,920.8225151,11.59866543,5,989.3575112,12.22136469,5,5.465560444,0.29815211,0.00525574,0.003034403,274.5451755,3.385682782,3
ed42 dAD-LD70  pF2,ed42 dAD-LD70  pF2,S-LD70 pF2,S-LD70,D42 S-LD70 pF2,S-LD70,42,5,271.1166667,7.631004739,3,120.958969,4.013035941,5,9.466666667,3.048874109,3,261.65,9.36532434,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,854.7584589,12.96856658,5,975.6737086,12.96856658,5,5.79971929,0.165360529,0.010424463,0.006018567,141.3433111,8.648489105,4
ed42 eAD-LD130  pF2,ed42 eAD-LD130  pF2,S-LD130 pF2,S-LD130,D42 S-LD130 pF2,S-LD130,42,5,317.07,11.75603249,3,90.50620022,1.116441731,5,13.71333333,2.992930559,3,303.3566667,11.76221209,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,891.9530076,25.01166448,5,982.4183606,25.01166448,5,11.1855564,0.244126553,0.014923898,0.008616317,217.7494132,11.82837331,5
ed42 fAD-LD190  pF2,ed42 fAD-LD190  pF2,S-LD190 pF2,S-LD190,D42 S-LD190 pF2,S-LD190,42,5,184.04,8.897454692,3,21.69739939,1.246584939,5,0,0,3,184.04,8.897454692,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,893.4523623,18.65504483,5,915.0962006,40.28425097,5,18.01566472,0.171837045,0.010703625,0.006179741,153.528214,9.00990272,6
ed42 gAD-LD250  pF2,ed42 gAD-LD250  pF2,S-LD250 pF2,S-LD250,D42 S-LD250 pF2,S-LD250,42,5,136.02,9.417281986,3,22.86937266,2.610963811,5,0,0,3,136.02,9.417281986,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,912.9712979,23.19747442,5,935.8809624,23.19747442,5,10.37422594,0.11428206,0.011115797,0.006417708,104.3362408,9.796019857,7
ed42 hC pF1,ed42 hC pF1,C pF1,C,D42 C pF1,C,42,5,9.286666667,1.530827663,3,0,0,5,0,0,3,9.286666667,1.530827663,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,0,0,5,0,0,5,0,0,0,0,0.472280088,1.674247992,8
ed42 iAD-C  pF1,ed42 iAD-C  pF1,S-AD pF1,S-AD,D42 S-AD pF1,S-AD,42,5,156.9133333,116.9609958,3,176.9616203,16.08480382,5,0,0,3,156.9133333,116.9609958,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,885.644346,15.27060934,5,"1,063.99",22.18038539,5,9.919369901,-0.032589463,-0.133309522,-0.076966288,-28.8626735,118.0637756,9
ed42 jAD-FD  pF1,ed42 jAD-FD  pF1,S-AD-FD pF1,S-FD,D42 S-AD-FD pF1,S-FD,42,5,139.5866667,18.64636783,3,68.60043788,1.677252186,5,139.5866667,18.64636783,3,0,0,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,920.8225151,11.59866543,5,989.3575112,12.22136469,5,5.465560444,0.067517726,0.020362539,0.011756317,62.17184221,18.73392327,10
ed42 kAD-LD70  pF1,ed42 kAD-LD70  pF1,S-LD70 pF1,S-LD70,D42 S-LD70 pF1,S-LD70,42,5,101.24,10.5468858,3,120.958969,4.013035941,5,36.21333333,47.8654336,3,65.02666667,56.46671704,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,854.7584589,12.96856658,5,975.6737086,12.96856658,5,5.79971929,-0.033381776,-0.013235544,-0.007641545,-28.5333556,11.30490736,11
ed42 lAD-LD130  pF1,ed42 lAD-LD130  pF1,S-LD130 pF1,S-LD130,D42 S-LD130 pF1,S-LD130,42,5,153.14,95.06586348,3,90.50620022,1.116441731,5,24.95666667,43.22621465,3,128.1833333,127.9278876,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,891.9530076,25.01166448,5,982.4183606,25.01166448,5,11.1855564,0.060338844,0.106605183,0.061548531,53.81941321,95.07483639,12
ed42 mAD-LD190  pF1,ed42 mAD-LD190  pF1,S-LD190 pF1,S-LD190,D42 S-LD190 pF1,S-LD190,42,5,64.38333333,33.82652854,3,21.69739939,1.246584939,5,13.06,11.31205994,3,51.32333333,44.93392297,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,893.4523623,18.65504483,5,915.0962006,40.28425097,5,18.01566472,0.03791086,0.037902038,0.021882752,33.87154737,33.85627978,13
ed42 nAD-LD250  pF1,ed42 nAD-LD250  pF1,S-LD250 pF1,S-LD250,D42 S-LD250 pF1,S-LD250,42,5,21.37666667,10.47833161,3,22.86937266,2.610963811,5,6.7,5.833309524,3,14.67666667,16.30205304,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,912.9712979,23.19747442,5,935.8809624,23.19747442,5,10.37422594,-0.011289613,-0.011854876,-0.006844416,-10.30709257,10.81999253,14
fd80 aC pF2,fd80 aC pF2,C pF2,C,D80 C pF2,C,80,6,44.3228789,22.203805,3,0,0,5,0,0,3,44.3228789,22.203805,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,0,0,5,0,0,5,0,0,0,0,35.50849232,22.21415381,1
fd80 bAD-C  pF2,fd80 bAD-C  pF2,S-AD pF2,S-AD,D80 S-AD pF2,S-AD,80,6,425.82737,35.50452279,3,176.9616203,16.08480382,5,4.499455863,2.48861352,3,421.3279142,33.12754579,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,885.644346,15.27060934,5,"1,063.99",22.18038539,5,9.919369901,0.271047136,0.044265066,0.025556448,240.0513632,38.9839932,2
fd80 cAD-FD  pF2,fd80 cAD-FD  pF2,S-AD-FD pF2,S-FD,D80 S-AD-FD pF2,S-FD,80,6,399.7542582,1.687000828,3,68.60043788,1.677252186,5,1.617368297,0.322712347,3,398.1368899,1.663250077,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,920.8225151,11.59866543,5,989.3575112,12.22136469,5,5.465560444,0.350055986,0.005163162,0.002980953,322.3394338,2.473624809,3
fd80 dAD-LD70  pF2,fd80 dAD-LD70  pF2,S-LD70 pF2,S-LD70,D80 S-LD70 pF2,S-LD70,80,6,317.6293722,13.18823282,3,120.958969,4.013035941,5,0.796961316,0.20114167,3,316.8324109,13.04804141,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,854.7584589,12.96856658,5,975.6737086,12.96856658,5,5.79971929,0.219776727,0.016487887,0.009519286,187.8560166,13.80194245,4
fd80 eAD-LD130  pF2,fd80 eAD-LD130  pF2,S-LD130 pF2,S-LD130,D80 S-LD130 pF2,S-LD130,80,6,362.0518179,10.52005283,3,90.50620022,1.116441731,5,0.970660715,0.182398779,3,361.0811572,10.36449529,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,891.9530076,25.01166448,5,982.4183606,25.01166448,5,11.1855564,0.294557257,0.014473319,0.008356175,262.7312312,10.60083142,5
fd80 fAD-LD190  pF2,fd80 fAD-LD190  pF2,S-LD190 pF2,S-LD190,D80 S-LD190 pF2,S-LD190,80,6,262.3987776,15.08224407,3,21.69739939,1.246584939,5,0.113148886,0.124509801,3,262.2856287,14.9684467,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,893.4523623,18.65504483,5,915.0962006,40.28425097,5,18.01566472,0.259540409,0.017800365,0.010277046,231.8869916,15.14885253,6
fd80 gAD-LD250  pF2,fd80 gAD-LD250  pF2,S-LD250 pF2,S-LD250,D80 S-LD250 pF2,S-LD250,80,6,190.6891712,10.72550246,3,22.86937266,2.610963811,5,0,0,3,190.6891712,10.72550246,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,912.9712979,23.19747442,5,935.8809624,23.19747442,5,10.37422594,0.174162553,0.012896762,0.007445949,159.0054119,11.0595302,7
fd80 hC pF1,fd80 hC pF1,C pF1,C,D80 C pF1,C,80,6,13.99036563,1.562860969,3,0,0,5,0,0,3,13.99036563,1.562860969,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,0,0,5,0,0,5,0,0,0,0,5.175979052,1.703586632,8
fd80 iAD-C  pF1,fd80 iAD-C  pF1,S-AD pF1,S-AD,D80 S-AD pF1,S-AD,80,6,234.0372702,114.2765652,3,176.9616203,16.08480382,5,0.179258645,0.310485081,3,233.8580115,114.1151156,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,885.644346,15.27060934,5,"1,063.99",22.18038539,5,9.919369901,0.054492826,0.130309644,0.075234308,48.26126334,115.4049996,9
fd80 jAD-FD  pF1,fd80 jAD-FD  pF1,S-AD-FD pF1,S-FD,D80 S-AD-FD pF1,S-FD,80,6,241.7014917,105.7248882,3,68.60043788,1.677252186,5,0.065810714,0.1139875,3,241.635681,105.6110272,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,920.8225151,11.59866543,5,989.3575112,12.22136469,5,5.465560444,0.178412956,0.114854503,0.066311278,164.2866673,105.7403652,10
fd80 kAD-LD70  pF1,fd80 kAD-LD70  pF1,S-LD70 pF1,S-LD70,D80 S-LD70 pF1,S-LD70,80,6,168.1882015,95.22791929,3,120.958969,4.013035941,5,0,0,3,168.1882015,95.22791929,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,854.7584589,12.96856658,5,975.6737086,12.96856658,5,5.79971929,0.044942341,0.111512944,0.064382029,38.41484587,95.31485059,11
fd80 lAD-LD130  pF1,fd80 lAD-LD130  pF1,S-LD130 pF1,S-LD130,D80 S-LD130 pF1,S-LD130,80,6,122.5143306,21.16905681,3,90.50620022,1.116441731,5,0,0,3,122.5143306,21.16905681,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,891.9530076,25.01166448,5,982.4183606,25.01166448,5,11.1855564,0.026003325,0.02378969,0.013734984,23.1937438,21.20931591,12
fd80 mAD-LD190  pF1,fd80 mAD-LD190  pF1,S-LD190 pF1,S-LD190,D80 S-LD190 pF1,S-LD190,80,6,63.36662372,72.96457768,3,21.69739939,1.246584939,5,3.171253791,5.492772689,3,60.19536993,76.40661952,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,893.4523623,18.65504483,5,915.0962006,40.28425097,5,18.01566472,0.036772904,0.081684936,0.04716082,32.85483775,72.97837517,13
fd80 nAD-LD250  pF1,fd80 nAD-LD250  pF1,S-LD250 pF1,S-LD250,D80 S-LD250 pF1,S-LD250,80,6,45.87963228,31.46646798,3,22.86937266,2.610963811,5,0,0,3,45.87963228,31.46646798,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,912.9712979,23.19747442,5,935.8809624,23.19747442,5,10.37422594,0.01554909,0.034594674,0.019973244,14.19587304,31.58188424,14
gd120 aC pF2,gd120 aC pF2,C pF2,C,D120 C pF2,C,120,7,52.31528837,1.788311832,3,0,0,5,2.139737034,0.232963495,3,50.17555134,1.87773296,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,0,0,5,0,0,5,0,0,0,0,43.5009018,1.91251986,1
gd120 bAD-C  pF2,gd120 bAD-C  pF2,S-AD pF2,S-AD,D120 S-AD pF2,S-AD,120,7,596.351856,41.55477253,3,176.9616203,16.08480382,5,7.475040388,2.348161452,3,588.8768156,41.24875848,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,885.644346,15.27060934,5,"1,063.99",22.18038539,5,9.919369901,0.463589985,0.050949484,0.029415699,410.5758492,44.56433223,2
gd120 cAD-FD  pF2,gd120 cAD-FD  pF2,S-AD-FD pF2,S-FD,D120 S-AD-FD pF2,S-FD,120,7,542.6827594,21.50155407,3,68.60043788,1.677252186,5,4.351629189,0.428274266,3,538.3311302,21.73319314,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,920.8225151,11.59866543,5,989.3575112,12.22136469,5,5.465560444,0.505274282,0.024281803,0.014019106,465.2679349,21.57752709,3
gd120 dAD-LD70  pF2,gd120 dAD-LD70  pF2,S-LD70 pF2,S-LD70,D120 S-LD70 pF2,S-LD70,120,7,432.2971926,2.066935934,3,120.958969,4.013035941,5,5.622721136,1.237683935,3,426.6744714,0.83502459,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,854.7584589,12.96856658,5,975.6737086,12.96856658,5,5.79971929,0.353929036,0.007573287,0.004372439,302.523837,4.5646856,4
gd120 eAD-LD130  pF2,gd120 eAD-LD130  pF2,S-LD130 pF2,S-LD130,D120 S-LD130 pF2,S-LD130,120,7,367.2357631,113.2418899,3,90.50620022,1.116441731,5,6.637607931,0.967925258,3,360.5981552,113.1221071,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,891.9530076,25.01166448,5,982.4183606,25.01166448,5,11.1855564,0.300369161,0.127246994,0.073466086,267.9151763,113.2494228,5
gd120 fAD-LD190  pF2,gd120 fAD-LD190  pF2,S-LD190 pF2,S-LD190,D120 S-LD190 pF2,S-LD190,120,7,281.4693707,13.38682207,3,21.69739939,1.246584939,5,2.792421881,0.121049497,3,278.6769488,13.29757171,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,893.4523623,18.65504483,5,915.0962006,40.28425097,5,18.01566472,0.280885244,0.016168376,0.009334816,250.9575847,13.46182203,6
gd120 gAD-LD250  pF2,gd120 gAD-LD250  pF2,S-LD250 pF2,S-LD250,D120 S-LD250 pF2,S-LD250,120,7,207.9436302,18.34937565,3,22.86937266,2.610963811,5,2.363123428,0.561529511,3,205.5805068,18.60787929,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,912.9712979,23.19747442,5,935.8809624,23.19747442,5,10.37422594,0.193061788,0.020898432,0.012065716,176.259871,18.54660055,7
gd120 hC pF1,gd120 hC pF1,C pF1,C,D120 C pF1,C,120,7,3.346221839,0.901736287,3,0,0,5,2.763699834,0.951551257,3,0.582522005,0.094346986,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,0,0,5,0,0,5,0,0,0,0,-5.468164739,1.128184975,8
gd120 iAD-C  pF1,gd120 iAD-C  pF1,S-AD pF1,S-AD,D120 S-AD pF1,S-AD,120,7,281.0123964,109.7555938,3,176.9616203,16.08480382,5,3.264576216,0.973315766,3,277.7478201,109.5055486,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,885.644346,15.27060934,5,"1,063.99",22.18038539,5,9.919369901,0.107533447,0.125267192,0.072323047,95.23638952,110.9300273,9
gd120 jAD-FD  pF1,gd120 jAD-FD  pF1,S-AD-FD pF1,S-FD,D120 S-AD-FD pF1,S-FD,120,7,227.7134704,127.522215,3,68.60043788,1.677252186,5,4.272655128,1.019146551,3,223.4408153,126.5057024,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,920.8225151,11.59866543,5,989.3575112,12.22136469,5,5.465560444,0.163222167,0.138516484,0.079972529,150.2986459,127.5350468,10
gd120 kAD-LD70  pF1,gd120 kAD-LD70  pF1,S-LD70 pF1,S-LD70,D120 S-LD70 pF1,S-LD70,120,7,23.83518569,28.46352464,3,120.958969,4.013035941,5,23.11940675,28.8820278,3,0.715778938,0.420147294,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,854.7584589,12.96856658,5,975.6737086,12.96856658,5,5.79971929,-0.123939306,-0.033691288,-0.019451674,-105.9381699,28.75302359,11
gd120 lAD-LD130  pF1,gd120 lAD-LD130  pF1,S-LD130 pF1,S-LD130,D120 S-LD130 pF1,S-LD130,120,7,31.19184044,25.88782379,3,90.50620022,1.116441731,5,30.55487463,26.06365589,3,0.63696581,0.450748238,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,891.9530076,25.01166448,5,982.4183606,25.01166448,5,11.1855564,-0.076381542,-0.029139496,-0.016823696,-68.12874636,25.92075492,12
gd120 mAD-LD190  pF1,gd120 mAD-LD190  pF1,S-LD190 pF1,S-LD190,D120 S-LD190 pF1,S-LD190,120,7,29.98399907,38.38880618,3,21.69739939,1.246584939,5,6.65192223,3.755392806,3,23.33207684,34.98461277,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,893.4523623,18.65504483,5,915.0962006,40.28425097,5,18.01566472,-0.000590728,-0.042996166,-0.024823848,-0.527786895,38.41502423,13
gd120 nAD-LD250  pF1,gd120 nAD-LD250  pF1,S-LD250 pF1,S-LD250,D120 S-LD250 pF1,S-LD250,120,7,17.19802726,21.63371625,3,22.86937266,2.610963811,5,15.89112978,22.68391094,3,1.306897475,2.116148276,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,912.9712979,23.19747442,5,935.8809624,23.19747442,5,10.37422594,-0.01586658,-0.02388285,-0.01378877,-14.48573198,21.8012496,14
hd160 aC pF2,hd160 aC pF2,C pF2,C,D160 C pF2,C,160,8,46.82050154,0.822511504,3,0,0,5,0.813372647,0.208395578,3,46.00712889,0.781836554,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,0,0,5,0,0,5,0,0,0,0,38.00611496,1.065925973,1
hd160 bAD-C  pF2,hd160 bAD-C  pF2,S-AD pF2,S-AD,D160 S-AD pF2,S-AD,160,8,507.5234857,20.44373242,3,179.6490377,16.32907477,5,6.678816657,0.318993718,3,500.8446691,20.37082556,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,938.9481196,113.1840941,5,"1,063.99",22.18038539,5,9.919369901,0.339805847,0.049546557,0.028605718,319.0600614,26.17335575,2
hd160 cAD-FD  pF2,hd160 cAD-FD  pF2,S-AD-FD pF2,S-FD,D160 S-AD-FD pF2,S-FD,160,8,441.2880653,13.53491915,3,68.50805387,1.674993436,5,3.870421634,0.067295292,3,437.4176437,13.46991886,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,870.1921091,2.046955052,5,989.3575112,12.22136469,5,5.465560444,0.418258935,0.015722763,0.009077541,363.9656249,13.65501052,3
hd160 dAD-LD70  pF2,hd160 dAD-LD70  pF2,S-LD70 pF2,S-LD70,D160 S-LD70 pF2,S-LD70,160,8,350.0627806,5.791083816,3,121.6381345,4.015678518,5,3.545568608,0.456258693,3,346.517212,5.812345213,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,782.2984883,4.587240059,5,975.6737086,12.96856658,5,5.79971929,0.280724382,0.009198347,0.005310668,219.6102595,7.079689169,4
hd160 eAD-LD130  pF2,hd160 eAD-LD130  pF2,S-LD130 pF2,S-LD130,D160 S-LD130 pF2,S-LD130,160,8,395.473778,5.326619904,3,90.97830479,1.106221617,5,3.978044485,0.271614497,3,391.4957335,5.213971926,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,810.7630799,3.075457191,5,982.4183606,25.01166448,5,11.1855564,0.364694809,0.006902036,0.003984892,295.6810867,5.482360702,5
hd160 fAD-LD190  pF2,hd160 fAD-LD190  pF2,S-LD190 pF2,S-LD190,D160 S-LD190 pF2,S-LD190,160,8,299.8684879,4.815405412,3,22.30595822,1.24136307,5,2.726033681,0.743138699,3,297.1424542,5.043726953,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,881.5450444,3.93858641,5,915.0962006,40.28425097,5,18.01566472,0.304860364,0.005853899,0.00337975,268.7481431,5.01884295,6
hd160 gAD-LD250  pF2,hd160 gAD-LD250  pF2,S-LD250 pF2,S-LD250,D160 S-LD250 pF2,S-LD250,160,8,228.8056038,26.87452107,3,23.52988194,2.614740135,5,2.240363643,1.371299613,3,226.5652402,26.64917632,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,882.9917012,3.534089152,5,935.8809624,23.19747442,5,10.37422594,0.22249511,0.030602072,0.017668114,196.4613353,27.00993191,7
hd160 hC pF1,hd160 hC pF1,C pF1,C,D160 C pF1,C,160,8,6.238389002,1.748643482,3,0,0,5,5.310257341,2.087504217,3,0.928131661,0.356314827,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,0,0,5,0,0,5,0,0,0,0,-2.575997576,1.875480481,8
hd160 iAD-C  pF1,hd160 iAD-C  pF1,S-AD pF1,S-AD,D160 S-AD pF1,S-AD,160,8,66.82655372,80.20045407,3,179.6490377,16.32907477,5,13.70731697,19.26228199,3,53.11923675,89.20041202,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,938.9481196,113.1840941,5,"1,063.99",22.18038539,5,9.919369901,-0.129545891,-0.088558328,-0.051129174,-121.6368706,81.84870914,9
hd160 jAD-FD  pF1,hd160 jAD-FD  pF1,S-AD-FD pF1,S-FD,D160 S-AD-FD pF1,S-FD,160,8,120.1654535,110.7099599,3,68.50805387,1.674993436,5,37.68122383,31.81806754,3,82.48422965,142.4098695,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,870.1921091,2.046955052,5,989.3575112,12.22136469,5,5.465560444,0.049233971,0.127241733,0.073463049,42.84301303,110.7247059,10
hd160 kAD-LD70  pF1,hd160 kAD-LD70  pF1,S-LD70 pF1,S-LD70,D160 S-LD70 pF1,S-LD70,160,8,115.0418737,127.3025779,3,121.6381345,4.015678518,5,28.14753496,25.05806701,3,86.89433869,149.8591075,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,782.2984883,4.587240059,5,975.6737086,12.96856658,5,5.79971929,-0.019699191,-0.162812196,-0.093999665,-15.41064744,127.3677027,11
hd160 lAD-LD130  pF1,hd160 lAD-LD130  pF1,S-LD130 pF1,S-LD130,D160 S-LD130 pF1,S-LD130,160,8,76.14264616,103.2807005,3,90.97830479,1.106221617,5,1.576074661,2.11560939,3,74.5665715,104.4901259,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,810.7630799,3.075457191,5,982.4183606,25.01166448,5,11.1855564,-0.029170106,-0.127397129,-0.073552767,-23.65004521,103.2888498,12
hd160 mAD-LD190  pF1,hd160 mAD-LD190  pF1,S-LD190 pF1,S-LD190,D160 S-LD190 pF1,S-LD190,160,8,28.44875773,3.869668128,3,22.30595822,1.24136307,5,28.33556143,3.990035262,3,0.113196293,0.131475688,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,881.5450444,3.93858641,5,915.0962006,40.28425097,5,18.01566472,-0.003030574,-0.004673713,-0.002698369,-2.671587074,4.1200712,13
hd160 nAD-LD250  pF1,hd160 nAD-LD250  pF1,S-LD250 pF1,S-LD250,D160 S-LD250 pF1,S-LD250,160,8,20.31724001,4.237853545,3,23.52988194,2.614740135,5,15.32356314,12.9743502,3,4.993676865,8.791803319,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,882.9917012,3.534089152,5,935.8809624,23.19747442,5,10.37422594,-0.013620772,-0.00569174,-0.003286128,-12.02702851,5.025528992,14
